game_id,game_key,turn,player,card_index,was_playable,posterior_p_life_loss,num_candidates,life_tokens,info_tokens,hints_on_card,hint_types_on_card,cards_in_deck,final_score,game_end_reason,data_source,subject_type,partner_type,skill_level,actual_color,actual_rank,fireworks_sum
0,bergh_vs_bergh:0,2,bergh,1,True,0.0,5,3,6,1,1,40,17,natural,hoad,bergh,bergh,,4,1,0
0,bergh_vs_bergh:0,4,bergh,0,True,0.0,1,3,5,2,2,39,17,natural,hoad,bergh,bergh,,3,1,1
0,bergh_vs_bergh:0,8,bergh,0,True,0.0,1,3,2,2,2,38,17,natural,hoad,bergh,bergh,,4,2,2
0,bergh_vs_bergh:0,10,bergh,3,True,0.0,1,3,1,2,2,37,17,natural,hoad,bergh,bergh,,4,3,3
0,bergh_vs_bergh:0,12,bergh,4,False,0.3076923076923077,5,3,0,1,1,36,17,natural,hoad,bergh,bergh,,3,1,4
0,bergh_vs_bergh:0,14,bergh,3,True,0.25,5,2,1,1,1,34,17,natural,hoad,bergh,bergh,,2,1,4
0,bergh_vs_bergh:0,15,bergh,2,False,0.3333333333333333,3,2,1,1,1,33,17,natural,hoad,bergh,bergh,,1,2,5
0,bergh_vs_bergh:0,21,bergh,2,True,0.0,1,1,0,2,2,30,17,natural,hoad,bergh,bergh,,3,2,5
0,bergh_vs_bergh:0,28,bergh,3,True,0.0,1,1,0,2,2,26,17,natural,hoad,bergh,bergh,,3,3,6
0,bergh_vs_bergh:0,35,bergh,2,True,0.0,1,1,0,2,2,22,17,natural,hoad,bergh,bergh,,3,4,7
0,bergh_vs_bergh:0,40,bergh,3,True,0.0,1,1,0,2,2,19,17,natural,hoad,bergh,bergh,,2,2,8
0,bergh_vs_bergh:0,42,bergh,1,True,0.0,1,1,1,3,2,17,17,natural,hoad,bergh,bergh,,2,3,9
0,bergh_vs_bergh:0,46,bergh,2,True,0.0,1,1,0,2,2,15,17,natural,hoad,bergh,bergh,,4,4,10
0,bergh_vs_bergh:0,51,bergh,1,True,0.0,1,1,0,2,2,12,17,natural,hoad,bergh,bergh,,1,1,11
0,bergh_vs_bergh:0,56,bergh,3,True,0.0,1,1,0,2,2,9,17,natural,hoad,bergh,bergh,,2,4,12
0,bergh_vs_bergh:0,58,bergh,0,True,0.0,1,1,1,2,1,7,17,natural,hoad,bergh,bergh,,2,5,13
0,bergh_vs_bergh:0,68,bergh,3,True,0.0,1,1,1,2,2,2,17,natural,hoad,bergh,bergh,,1,2,14
0,bergh_vs_bergh:0,69,bergh,0,True,0.0,1,1,1,1,1,1,17,natural,hoad,bergh,bergh,,1,3,15
0,bergh_vs_bergh:0,70,bergh,0,True,0.0,1,1,1,4,2,0,17,natural,hoad,bergh,bergh,,1,4,16
1,bergh_vs_bergh:1,1,bergh,4,True,0.0,5,3,7,1,1,40,17,natural,hoad,bergh,bergh,,0,1,0
1,bergh_vs_bergh:1,3,bergh,3,True,0.0,1,3,6,2,2,39,17,natural,hoad,bergh,bergh,,2,1,1
1,bergh_vs_bergh:1,7,bergh,4,True,0.125,4,3,5,1,1,37,17,natural,hoad,bergh,bergh,,4,1,2
1,bergh_vs_bergh:1,12,bergh,1,True,0.0,1,3,1,2,2,36,17,natural,hoad,bergh,bergh,,3,1,3
1,bergh_vs_bergh:1,14,bergh,4,True,0.1111111111111111,5,3,0,1,1,35,17,natural,hoad,bergh,bergh,,4,2,4
1,bergh_vs_bergh:1,19,bergh,1,True,0.0,1,3,0,2,2,32,17,natural,hoad,bergh,bergh,,4,3,5
1,bergh_vs_bergh:1,21,bergh,0,False,0.3333333333333333,2,3,1,1,1,30,17,natural,hoad,bergh,bergh,,4,5,6
1,bergh_vs_bergh:1,27,bergh,3,True,0.0,1,2,0,2,2,27,17,natural,hoad,bergh,bergh,,1,1,6
1,bergh_vs_bergh:1,33,bergh,4,True,0.16666666666666666,4,2,1,1,1,23,17,natural,hoad,bergh,bergh,,3,2,7
1,bergh_vs_bergh:1,35,bergh,2,True,0.0,1,2,0,2,2,22,17,natural,hoad,bergh,bergh,,2,2,8
1,bergh_vs_bergh:1,37,bergh,1,True,0.3333333333333333,2,2,1,1,1,20,17,natural,hoad,bergh,bergh,,2,3,9
1,bergh_vs_bergh:1,41,bergh,1,True,0.0,1,2,0,2,2,18,17,natural,hoad,bergh,bergh,,3,3,10
1,bergh_vs_bergh:1,42,bergh,0,True,0.0,1,2,0,1,1,17,17,natural,hoad,bergh,bergh,,3,4,11
1,bergh_vs_bergh:1,45,bergh,1,True,0.0,1,2,0,2,2,15,17,natural,hoad,bergh,bergh,,3,5,12
1,bergh_vs_bergh:1,49,bergh,2,True,0.0,1,2,0,2,2,13,17,natural,hoad,bergh,bergh,,4,4,13
1,bergh_vs_bergh:1,56,bergh,1,True,0.0,1,2,0,2,2,9,17,natural,hoad,bergh,bergh,,2,4,14
1,bergh_vs_bergh:1,62,bergh,2,True,0.0,1,2,1,2,2,5,17,natural,hoad,bergh,bergh,,2,5,15
1,bergh_vs_bergh:1,65,bergh,3,True,0.0,1,2,0,2,2,4,17,natural,hoad,bergh,bergh,,0,2,16
2,bergh_vs_bergh:2,1,bergh,3,True,0.0,5,3,7,1,1,40,14,natural,hoad,bergh,bergh,,0,1,0
2,bergh_vs_bergh:2,3,bergh,1,True,0.0,1,3,6,2,2,39,14,natural,hoad,bergh,bergh,,4,1,1
2,bergh_vs_bergh:2,6,bergh,0,True,0.3076923076923077,5,3,4,1,1,38,14,natural,hoad,bergh,bergh,,2,1,2
2,bergh_vs_bergh:2,33,bergh,4,True,0.375,4,3,0,1,1,26,14,natural,hoad,bergh,bergh,,3,1,3
2,bergh_vs_bergh:2,36,bergh,4,True,0.1111111111111111,5,3,0,1,1,24,14,natural,hoad,bergh,bergh,,0,2,4
2,bergh_vs_bergh:2,41,bergh,4,True,0.3333333333333333,5,3,0,1,1,21,14,natural,hoad,bergh,bergh,,3,2,5
2,bergh_vs_bergh:2,44,bergh,4,True,0.3333333333333333,3,3,0,1,1,19,14,natural,hoad,bergh,bergh,,0,3,6
2,bergh_vs_bergh:2,51,bergh,3,False,0.25,2,3,0,1,1,15,14,natural,hoad,bergh,bergh,,1,3,7
2,bergh_vs_bergh:2,54,bergh,4,True,0.4,4,2,0,1,1,13,14,natural,hoad,bergh,bergh,,4,2,7
2,bergh_vs_bergh:2,57,bergh,4,True,0.25,2,2,0,1,1,11,14,natural,hoad,bergh,bergh,,1,1,8
2,bergh_vs_bergh:2,59,bergh,1,True,0.0,1,2,1,5,2,9,14,natural,hoad,bergh,bergh,,1,2,9
2,bergh_vs_bergh:2,65,bergh,4,True,0.3333333333333333,2,2,0,1,1,6,14,natural,hoad,bergh,bergh,,0,4,10
2,bergh_vs_bergh:2,69,bergh,2,True,0.0,1,2,1,1,1,3,14,natural,hoad,bergh,bergh,,0,5,11
2,bergh_vs_bergh:2,72,bergh,1,True,0.0,1,2,0,2,2,2,14,natural,hoad,bergh,bergh,,2,2,12
2,bergh_vs_bergh:2,73,bergh,1,True,0.0,1,2,0,2,2,1,14,natural,hoad,bergh,bergh,,2,3,13
3,bergh_vs_bergh:3,2,bergh,2,True,0.0,5,3,6,1,1,40,11,natural,hoad,bergh,bergh,,1,1,0
3,bergh_vs_bergh:3,4,bergh,0,True,0.0,1,3,5,2,2,39,11,natural,hoad,bergh,bergh,,2,1,1
3,bergh_vs_bergh:3,7,bergh,4,False,0.3333333333333333,3,3,3,1,1,38,11,natural,hoad,bergh,bergh,,4,2,2
3,bergh_vs_bergh:3,9,bergh,0,True,0.0,1,2,2,2,2,37,11,natural,hoad,bergh,bergh,,1,2,2
3,bergh_vs_bergh:3,11,bergh,2,True,0.0,1,2,1,2,2,36,11,natural,hoad,bergh,bergh,,1,3,3
3,bergh_vs_bergh:3,13,bergh,4,True,0.3076923076923077,5,2,0,1,1,35,11,natural,hoad,bergh,bergh,,3,1,4
3,bergh_vs_bergh:3,16,bergh,3,True,0.25,3,2,0,1,1,33,11,natural,hoad,bergh,bergh,,3,2,5
3,bergh_vs_bergh:3,19,bergh,2,True,0.0,1,2,0,2,2,31,11,natural,hoad,bergh,bergh,,3,3,6
3,bergh_vs_bergh:3,37,bergh,1,True,0.0,1,2,1,2,2,21,11,natural,hoad,bergh,bergh,,4,1,7
3,bergh_vs_bergh:3,43,bergh,0,False,0.3333333333333333,2,2,0,1,1,18,11,natural,hoad,bergh,bergh,,1,2,8
3,bergh_vs_bergh:3,54,bergh,2,True,0.0,1,1,2,2,2,11,11,natural,hoad,bergh,bergh,,2,2,8
3,bergh_vs_bergh:3,62,bergh,3,True,0.0,1,1,1,2,2,7,11,natural,hoad,bergh,bergh,,1,4,9
3,bergh_vs_bergh:3,64,bergh,4,True,0.0,1,1,0,1,1,6,11,natural,hoad,bergh,bergh,,1,5,10
4,bergh_vs_bergh:4,1,bergh,4,True,0.0,5,3,7,1,1,40,13,natural,hoad,bergh,bergh,,3,1,0
4,bergh_vs_bergh:4,3,bergh,1,True,0.0,1,3,6,2,2,39,13,natural,hoad,bergh,bergh,,1,1,1
4,bergh_vs_bergh:4,8,bergh,0,True,0.0,1,3,2,2,2,38,13,natural,hoad,bergh,bergh,,1,2,2
4,bergh_vs_bergh:4,10,bergh,3,True,0.18181818181818182,4,3,1,1,1,37,13,natural,hoad,bergh,bergh,,4,1,3
4,bergh_vs_bergh:4,36,bergh,4,True,0.3333333333333333,4,3,0,1,1,24,13,natural,hoad,bergh,bergh,,3,2,4
4,bergh_vs_bergh:4,43,bergh,3,True,0.0,1,3,0,2,2,20,13,natural,hoad,bergh,bergh,,1,3,5
4,bergh_vs_bergh:4,52,bergh,4,True,0.4,4,3,0,1,1,15,13,natural,hoad,bergh,bergh,,2,1,6
4,bergh_vs_bergh:4,55,bergh,2,True,0.4,4,3,0,1,1,13,13,natural,hoad,bergh,bergh,,2,2,7
4,bergh_vs_bergh:4,72,bergh,4,True,0.0,1,3,0,1,1,4,13,natural,hoad,bergh,bergh,,0,1,8
4,bergh_vs_bergh:4,73,bergh,1,True,0.0,1,3,0,3,2,3,13,natural,hoad,bergh,bergh,,0,2,9
4,bergh_vs_bergh:4,74,bergh,1,True,0.0,1,3,0,6,2,2,13,natural,hoad,bergh,bergh,,0,3,10
4,bergh_vs_bergh:4,75,bergh,0,True,0.0,1,3,0,1,1,1,13,natural,hoad,bergh,bergh,,0,4,11
4,bergh_vs_bergh:4,76,bergh,1,True,0.0,1,3,0,2,1,0,13,natural,hoad,bergh,bergh,,0,5,12
5,bergh_vs_bergh:5,1,bergh,3,True,0.0,5,3,7,1,1,40,14,natural,hoad,bergh,bergh,,1,1,0
5,bergh_vs_bergh:5,3,bergh,2,True,0.0,1,3,6,2,2,39,14,natural,hoad,bergh,bergh,,3,1,1
5,bergh_vs_bergh:5,5,bergh,4,True,0.3076923076923077,5,3,5,1,1,38,14,natural,hoad,bergh,bergh,,4,1,2
5,bergh_vs_bergh:5,9,bergh,1,False,0.3333333333333333,3,3,2,1,1,37,14,natural,hoad,bergh,bergh,,2,2,3
5,bergh_vs_bergh:5,14,bergh,4,False,0.25,5,2,0,1,1,35,14,natural,hoad,bergh,bergh,,0,2,3
5,bergh_vs_bergh:5,19,bergh,3,True,0.0,1,1,0,2,2,32,14,natural,hoad,bergh,bergh,,3,2,3
5,bergh_vs_bergh:5,21,bergh,1,True,0.0,1,1,1,2,2,30,14,natural,hoad,bergh,bergh,,3,3,4
5,bergh_vs_bergh:5,35,bergh,3,True,0.0,1,1,0,2,2,23,14,natural,hoad,bergh,bergh,,0,1,5
5,bergh_vs_bergh:5,37,bergh,0,True,0.0,1,1,1,6,2,21,14,natural,hoad,bergh,bergh,,0,2,6
5,bergh_vs_bergh:5,41,bergh,1,True,0.0,1,1,0,2,2,19,14,natural,hoad,bergh,bergh,,1,2,7
