data_source,game_key,turn,player_seat,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others
hanab_live,1757348,3,1,0,0,5,5,4
hanab_live,1757348,7,1,0.666666666667,0.666666666667,5,5,4
hanab_live,1757348,9,1,0.333333333333,0.333333333333,5,5,4
hanab_live,1757348,11,1,0.545454545455,0.545454545455,5,5,4
hanab_live,1757348,12,0,0,0,1,1,3
hanab_live,1757348,21,1,0.75,0.785714285714,5,5,4
hanab_live,1757348,24,0,0.2,0.2,3,3,4
hanab_live,1757348,27,1,0,0,1,1,4
hanab_live,1757348,30,0,0.666666666667,0.666666666667,5,5,4
hanab_live,1757348,36,0,0.6,0.6,4,4,4
hanab_live,1757348,38,0,0.571428571429,0.571428571429,4,4,3
hanab_live,1757349,1,1,0.714285714286,0.714285714286,19,19,4
hanab_live,1757349,3,1,0.703703703704,0.703703703704,14,14,4
hanab_live,1757349,6,0,0.666666666667,0.666666666667,5,5,4
hanab_live,1757349,11,1,0,0,1,1,3
hanab_live,1757349,16,0,0.1,0.1,4,4,4
hanab_live,1757349,19,1,0.25,0.25,4,4,4
hanab_live,1757349,21,1,0.571428571429,0.571428571429,4,4,4
hanab_live,1757349,23,1,0.25,0.25,5,5,3
hanab_live,1757349,25,1,0.68,0.683574879227,17,17,4
hanab_live,1757349,27,1,0.681818181818,0.7,16,16,4
hanab_live,1757349,29,1,0.666666666667,0.6,5,4,4
hanab_live,1757349,31,1,0,0,4,4,4
hanab_live,1757349,34,0,0.684210526316,0.686274509804,14,14,4
hanab_live,1757349,36,0,0.666666666667,0.6,4,3,4
hanab_live,1757349,39,1,0,0,1,1,4
hanab_live,1757349,40,0,0,0,1,1,3
hanab_live,1757349,42,0,0.714285714286,0.742424242424,12,11,4
hanab_live,1757349,43,1,0,0,1,1,3
hanab_live,1757349,44,0,0.666666666667,0.666666666667,3,3,3
hanab_live,1757349,47,1,0.333333333333,0.333333333333,2,2,4
hanab_live,1757349,48,0,0,0,1,1,2
hanab_live,1757349,49,1,0,0,2,2,3
hanab_live,1757349,51,1,0,0,1,1,4
hanab_live,1757349,63,1,0.8,0.666666666667,5,5,2
hanab_live,1757349,64,0,0,0,1,1,3
hanab_live,1757352,2,0,0,0,5,5,4
hanab_live,1757352,3,1,0.166666666667,0.166666666667,5,5,4
hanab_live,1757352,4,0,0.363636363636,0.363636363636,5,5,3
hanab_live,1757352,9,1,0.444444444444,0.444444444444,4,4,4
hanab_live,1757352,10,0,0.75,0.748948106592,20,20,4
hanab_live,1757352,12,0,0.782608695652,0.782608695652,16,16,4
hanab_live,1757352,18,0,0,0,1,1,4
hanab_live,1757352,22,0,0,0,1,1,4
hanab_live,1757352,24,0,0.666666666667,0.666666666667,4,4,4
hanab_live,1757352,26,0,0,0,1,1,4
hanab_live,1757352,31,1,0,0,1,1,4
hanab_live,1757352,32,0,0,0,1,1,3
hanab_live,1757352,35,1,0.571428571429,0.571428571429,4,4,4
hanab_live,1757352,37,1,0,0,1,1,4
hanab_live,1757352,39,1,0.615384615385,0.636363636364,10,10,3
hanab_live,1757352,41,1,0.5,0.5,3,3,2
hanab_live,1757352,42,0,0,0,1,1,3
hanab_live,1757352,43,1,0,0,2,2,1
hanab_live,1757352,44,0,0,0,1,1,2
hanab_live,1757352,46,0,0.666666666667,0.625,5,4,4
hanab_live,1757352,48,0,0.75,0.5,4,3,4
hanab_live,1757352,49,1,0.333333333333,0.333333333333,2,2,0
hanab_live,1757352,50,0,0.333333333333,0,3,2,3
hanab_live,1757352,53,1,0.5,0.5,2,2,4
hanab_live,1757352,55,1,0.875,0.880952380952,7,7,4
hanab_live,1757352,56,0,0,0,1,1,2
hanab_live,1757352,58,0,0,0,1,1,4
hanab_live,1757355,3,1,0.625,0.625,4,4,4
hanab_live,1757355,5,1,0.8,0.8,3,3,4
hanab_live,1757355,8,0,0.153846153846,0.153846153846,5,5,4
hanab_live,1757355,10,0,0.75,0.714285714286,5,4,4
hanab_live,1757355,11,1,0.6,0.583333333333,5,5,3
hanab_live,1757355,12,0,0.1,0.1,4,4,3
hanab_live,1757355,14,0,0.714285714286,0.666666666667,5,4,4
hanab_live,1757355,17,1,0.6,0.6,4,4,4
hanab_live,1757355,19,1,0.625,0.571428571429,4,3,4
hanab_live,1757355,20,0,0,0,1,1,3
hanab_live,1757355,22,0,0.625,0.571428571429,4,4,4
hanab_live,1757355,25,1,0.714285714286,0.666666666667,4,3,4
hanab_live,1757355,26,0,0.5,0.5,2,2,3
hanab_live,1757355,30,0,0.6,0.666666666667,4,4,4
hanab_live,1757355,31,1,0,0,1,1,4
hanab_live,1757355,34,0,0.333333333333,0.333333333333,4,4,4
hanab_live,1757355,37,1,0.666666666667,0.6,5,4,4
hanab_live,1757355,40,0,0.6,0.5,3,2,4
hanab_live,1757355,41,1,0.8,0.75,5,4,3
hanab_live,1757355,42,0,0,0,1,1,3
hanab_live,1757355,43,1,0,0,1,1,2
hanab_live,1757355,46,0,0.875,0.876602564103,14,14,3
hanab_live,1757355,50,0,0,0,2,2,4
hanab_live,1757355,58,0,0,0,1,1,0
hanab_live,1757355,59,1,0,0,1,1,0
hanab_live,1757356,2,0,0,0,5,5,4
hanab_live,1757356,3,1,0.153846153846,0.153846153846,5,5,4
hanab_live,1757356,5,1,0.705882352941,0.711458333333,20,20,4
hanab_live,1757356,6,0,0.4,0.4,5,5,3
hanab_live,1757356,8,0,0.769230769231,0.769230769231,15,15,4
hanab_live,1757356,9,1,0.4,0.4,4,4,3
hanab_live,1757356,12,0,0.714285714286,0.716666666667,13,13,4
hanab_live,1757356,14,0,0,0,1,1,4
hanab_live,1757356,22,0,0.75,0.666666666667,5,5,4
hanab_live,1757356,24,0,0,0,1,1,4
hanab_live,1757356,26,0,0.5,0.5,3,3,4
hanab_live,1757356,29,1,0,0,1,1,4
hanab_live,1757356,30,0,0,0,1,1,3
hanab_live,1757356,33,1,0.722222222222,0.726041666667,15,15,4
hanab_live,1757356,36,0,0.647058823529,0.644444444444,14,13,4
hanab_live,1757356,39,1,0.625,0.653846153846,14,14,4
hanab_live,1757356,45,1,0.6,0.625,4,4,3
hanab_live,1757356,46,0,0,0,1,1,3
hanab_live,1757356,47,1,0.666666666667,0.666666666667,3,3,2
hanab_live,1757356,49,1,0.5,0,2,1,4
hanab_live,1757356,52,0,0.666666666667,0.642857142857,8,7,4
hanab_live,1757356,54,0,0.5,0.5,3,3,4
hanab_live,1757356,57,1,0.6,0.6,4,4,4
hanab_live,1757356,59,1,0.666666666667,0.333333333333,5,2,4
hanab_live,1757356,61,1,0,0,1,1,4
hanab_live,1757356,62,0,0,0,1,1,3
hanab_live,1757356,63,1,0,0,1,1,3
hanab_live,1757357,1,1,0,0,5,5,4
hanab_live,1757357,3,1,0.923076923077,0.923076923077,16,16,4
hanab_live,1757357,5,1,0,0,1,1,3
hanab_live,1757357,8,0,0.677419354839,0.677419354839,19,19,4
hanab_live,1757357,11,1,0,0,1,1,4
hanab_live,1757357,13,1,0.625,0.5,5,5,4
hanab_live,1757357,15,1,0.333333333333,0.333333333333,2,2,4
hanab_live,1757357,18,0,0.75,0.75,12,12,4
hanab_live,1757357,20,0,0.714285714286,0.72,17,17,4
hanab_live,1757357,21,1,0.708333333333,0.707792207792,18,18,3
hanab_live,1757357,22,0,0.8,0.8,5,5,3
hanab_live,1757357,24,0,0.625,0.625,4,4,4
hanab_live,1757357,25,1,0,0,1,1,2
hanab_live,1757357,28,0,0,0,1,1,4
hanab_live,1757357,30,0,0,0,1,1,3
hanab_live,1757357,32,0,0.894736842105,0.90625,16,16,4
hanab_live,1757357,33,1,0.333333333333,0.333333333333,4,4,1
hanab_live,1757357,38,0,0.2,0.2,3,3,4
hanab_live,1757357,40,0,0.333333333333,0.333333333333,2,2,4
hanab_live,1757357,42,0,0,0,1,1,3
hanab_live,1757357,46,0,0.9,0.875,9,9,4
hanab_live,1757357,49,1,0.8,0.8,5,5,4
hanab_live,1757357,51,1,0,0,1,1,4
hanab_live,1757357,53,1,0,0,1,1,4
hanab_live,1757357,54,0,0.5,0.5,2,2,3
hanab_live,1757359,2,0,0.722222222222,0.722222222222,18,18,4
hanab_live,1757359,3,1,0.142857142857,0.142857142857,5,5,4
hanab_live,1757359,8,0,0.727272727273,0.731746031746,18,18,4
hanab_live,1757359,9,1,0.25,0.25,5,5,3
hanab_live,1757359,12,0,0.666666666667,0.666666666667,4,4,4
hanab_live,1757359,13,1,0.454545454545,0.454545454545,5,5,2
hanab_live,1757359,16,0,0,0,2,2,4
